name,code,province,city,type,belong,website,level,logo,longitude,latitude,status,created_at,updated_at,deleted_at
海军军医大学,91020,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
沈阳建筑大学,10153,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
东南大学,10286,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
广西医科大学,10598,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
河北医科大学,10089,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
陕西理工大学,10720,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
安徽中医药大学,10369,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
华东理工大学,10251,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
南华大学,10555,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
安徽大学,10357,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
北京大学,10001,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
潍坊医学院,10438,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
辽宁科技大学,10146,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
大连交通大学,10150,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
陆军军医大学,91012,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
新疆医科大学,10760,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
海军工程大学,91016,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
南京林业大学,10298,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
东华理工大学,10405,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
中国科学院大学,14430,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
西北师范大学,10736,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
中央财经大学,10034,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
浙江中医药大学,10344,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
上海交通大学,10248,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
西北工业大学,10699,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
昆明理工大学,10674,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
